Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2009-06-10,Cairns,17.1,27.1,0.0,6.0,10.9,ESE,35.0,SSE,ESE,17.0,28.0,53.0,47.0,1018.1,1015.0,1.0,1.0,22.9,25.1,No,No
2009-06-10,Adelaide,4.7,15.0,0.8,1.4,6.5,SSW,20.0,N,SW,6.0,6.0,72.0,45.0,1025.1,1024.4,,,9.2,13.8,No,No
2009-06-10,PearceRAAF,13.5,23.0,0.0,,8.1,W,41.0,NNW,W,19.0,24.0,77.0,43.0,1013.1,1011.7,6.0,3.0,18.1,21.9,No,Yes
2009-06-10,Woomera,8.8,15.9,0.0,2.0,4.4,SW,22.0,W,SSW,4.0,9.0,89.0,47.0,1025.6,1024.1,7.0,6.0,11.2,14.6,No,No
2009-06-10,Albany,9.5,21.3,4.4,3.4,8.6,,,N,N,22.0,6.0,86.0,53.0,1008.9,1007.1,1.0,4.0,15.0,21.2,Yes,Yes
2009-06-10,CoffsHarbour,6.4,18.9,0.0,1.8,9.5,,,NW,SW,17.0,17.0,48.0,26.0,1015.0,1012.3,1.0,1.0,14.4,18.0,No,No
2009-06-10,Williamtown,9.8,14.5,0.0,5.6,9.6,WNW,70.0,WNW,WNW,39.0,39.0,55.0,33.0,1012.5,1012.7,1.0,,11.9,13.8,No,No
2009-06-10,Bendigo,1.4,11.1,0.8,1.0,,SW,39.0,WSW,SW,17.0,19.0,79.0,54.0,1020.2,1021.0,1.0,3.0,4.8,10.0,No,No
2009-06-10,Moree,6.1,14.4,0.0,2.8,8.3,SW,48.0,SW,WSW,24.0,31.0,62.0,39.0,1020.2,1019.0,5.0,3.0,11.3,13.3,No,No
2009-06-10,Witchcliffe,13.1,20.1,13.2,,,NNW,56.0,NW,NW,19.0,26.0,73.0,58.0,1010.0,1008.6,,,17.4,18.5,Yes,Yes
2009-06-10,SydneyAirport,8.9,14.4,0.0,4.4,9.6,W,61.0,W,W,43.0,39.0,36.0,32.0,1012.2,1012.9,1.0,1.0,10.6,13.5,No,No
2009-06-10,Nuriootpa,3.6,12.5,1.2,0.8,4.7,ESE,19.0,NE,NNE,6.0,6.0,86.0,54.0,1025.4,1024.7,6.0,6.0,7.8,11.4,Yes,No
2009-06-10,Albury,3.0,10.5,5.6,,,WNW,37.0,W,WSW,15.0,22.0,77.0,56.0,1017.6,1018.4,,4.0,4.9,9.7,Yes,No
2009-06-10,Hobart,3.6,9.1,14.4,1.4,6.4,SSW,54.0,SE,WSW,11.0,17.0,56.0,67.0,1015.4,1015.9,6.0,5.0,5.8,7.6,Yes,Yes
2009-06-10,Dartmoor,4.1,11.7,2.0,1.2,4.8,SW,41.0,N,SSW,11.0,11.0,92.0,74.0,1022.8,1023.2,,,5.7,10.7,Yes,No
2009-06-10,Cobar,6.2,11.5,0.0,1.6,10.0,SSW,31.0,,SSW,,17.0,,42.0,,1022.0,,4.0,,10.5,No,No
2009-06-10,Tuggeranong,2.8,8.6,0.0,,,WSW,44.0,WSW,WSW,20.0,20.0,49.0,42.0,1012.4,1015.0,,,5.7,7.8,No,No
2009-06-10,NorfolkIsland,16.9,20.5,0.0,1.8,2.0,NW,39.0,NW,NW,11.0,11.0,87.0,75.0,1016.7,1015.4,7.0,7.0,19.7,19.3,No,No
2009-06-10,Watsonia,4.3,10.0,20.4,2.8,3.2,WSW,48.0,W,SSW,2.0,13.0,99.0,75.0,1019.2,1020.8,7.0,7.0,5.9,9.6,Yes,Yes
2009-06-10,WaggaWagga,2.7,9.9,6.2,0.4,6.2,WSW,41.0,WSW,SW,11.0,20.0,86.0,58.0,1018.4,1018.9,7.0,3.0,4.4,9.4,Yes,No
2009-06-10,MountGinini,-6.7,-0.6,9.8,,,WNW,31.0,WNW,WNW,15.0,17.0,82.0,83.0,,,,,-5.9,-5.1,Yes,No
2009-06-10,NorahHead,9.1,14.7,0.0,,,,,WNW,W,17.0,19.0,48.0,38.0,1012.5,1012.6,,,11.8,13.8,No,
2009-06-10,Sydney,9.7,14.2,0.0,4.4,9.6,,,W,WSW,35.0,31.0,37.0,32.0,1012.2,1012.5,1.0,1.0,10.5,13.6,No,No
2009-06-10,Wollongong,8.2,13.8,0.0,,,W,80.0,WSW,W,35.0,26.0,46.0,40.0,1010.0,1012.6,,,9.5,12.9,No,No
2009-06-10,Darwin,19.8,30.9,0.0,7.2,10.4,ESE,44.0,ESE,SSE,24.0,19.0,33.0,12.0,1017.7,1013.0,3.0,6.0,22.7,30.3,No,No
2009-06-10,Portland,5.7,10.8,7.0,1.2,4.8,SSW,46.0,SSW,S,11.0,9.0,77.0,71.0,1022.4,1023.0,7.0,6.0,7.9,10.2,Yes,Yes
2009-06-10,Ballarat,1.9,8.2,3.0,,,S,41.0,SW,SW,15.0,17.0,85.0,90.0,1020.5,1021.7,3.0,8.0,3.4,5.4,Yes,No
2009-06-10,SalmonGums,7.0,22.2,0.0,,,NNW,44.0,NNW,NW,24.0,24.0,50.0,39.0,,,,,12.8,21.3,No,Yes
2009-06-10,Launceston,3.8,10.8,3.0,2.6,,SE,43.0,SSE,SSW,17.0,9.0,64.0,47.0,1015.2,1016.8,,,5.7,10.3,Yes,No
2009-06-10,AliceSprings,3.2,17.9,0.0,2.4,10.1,SSE,33.0,,E,0.0,13.0,79.0,30.0,1025.6,1022.1,0.0,0.0,9.9,17.4,No,No
2009-06-10,Perth,11.9,22.0,1.2,2.0,8.1,WNW,31.0,N,W,7.0,15.0,90.0,58.0,1012.7,1011.7,6.0,3.0,17.3,20.8,Yes,Yes
2009-06-10,PerthAirport,12.3,22.2,0.2,2.0,8.1,WNW,37.0,N,WNW,11.0,20.0,86.0,51.0,1013.2,1011.9,6.0,3.0,16.3,21.2,No,Yes
2009-06-10,MountGambier,4.9,12.2,2.6,1.2,4.8,SW,37.0,WNW,SW,9.0,11.0,81.0,61.0,1023.7,1023.8,5.0,6.0,7.7,10.3,Yes,No
2009-06-10,Brisbane,8.2,20.4,0.0,5.4,9.7,W,43.0,W,WSW,13.0,19.0,47.0,35.0,1019.0,1015.5,3.0,3.0,15.6,19.7,No,No
2009-06-10,Penrith,8.5,14.3,0.0,,,WSW,46.0,W,WSW,28.0,22.0,42.0,38.0,,,,,10.6,12.8,No,No
2009-06-10,Richmond,8.1,14.5,0.0,3.0,,W,46.0,WNW,WSW,22.0,28.0,39.0,35.0,1013.4,1014.1,,,11.1,13.0,No,No
2009-06-10,Canberra,2.3,9.3,2.0,1.4,7.8,SW,46.0,WNW,WSW,20.0,20.0,53.0,36.0,1013.0,1015.4,1.0,6.0,5.2,8.2,Yes,No
2009-06-10,Sale,4.5,11.7,5.6,1.8,7.1,WNW,57.0,W,SW,30.0,28.0,74.0,51.0,1015.8,1018.8,4.0,6.0,7.2,9.1,Yes,No
2009-06-10,GoldCoast,9.4,20.2,0.0,,,W,52.0,NW,W,15.0,35.0,50.0,34.0,1018.1,1014.2,,,14.9,19.4,No,No
2009-06-10,Townsville,9.2,26.3,0.0,7.2,10.8,ENE,33.0,W,ENE,11.0,9.0,35.0,24.0,1019.9,1016.2,5.0,1.0,20.3,25.6,No,No
2009-06-11,Cobar,0.2,12.1,0.0,2.8,9.6,SSW,31.0,SW,SW,4.0,11.0,79.0,46.0,1026.6,1024.1,0.0,1.0,5.6,11.6,No,No
2009-06-11,Sydney,6.1,15.8,0.0,4.0,9.8,,,W,W,26.0,22.0,48.0,28.0,1020.9,1018.2,1.0,1.0,7.9,15.4,No,No
2009-06-11,Launceston,1.7,14.4,0.0,0.8,,NW,17.0,,WNW,0.0,6.0,96.0,58.0,1021.0,1019.8,,,3.2,14.2,No,No
2009-06-11,Moree,-1.4,12.9,0.0,2.0,9.5,SW,35.0,SSW,SSW,15.0,24.0,76.0,29.0,1024.7,1021.9,0.0,0.0,5.9,12.4,No,No
2009-06-11,Walpole,11.5,16.0,6.6,,,NW,46.0,WNW,SSW,11.0,28.0,87.0,74.0,1009.2,1009.1,,,12.1,13.8,Yes,Yes
2009-06-11,PearceRAAF,10.1,17.5,2.0,,0.5,NW,52.0,,S,0.0,22.0,92.0,90.0,1011.8,1009.9,8.0,8.0,13.6,13.9,Yes,Yes
2009-06-11,Hobart,5.6,13.0,7.6,1.6,3.1,NNW,19.0,NNW,E,9.0,11.0,97.0,84.0,1020.7,1019.0,8.0,1.0,7.7,10.1,Yes,No
2009-06-11,GoldCoast,7.6,17.2,0.0,,,W,39.0,W,NNE,11.0,7.0,45.0,34.0,1021.2,1018.1,,,11.8,17.0,No,No
2009-06-11,Woomera,5.8,16.5,0.0,3.0,8.9,N,39.0,N,N,24.0,24.0,64.0,40.0,1025.8,1021.3,4.0,1.0,9.9,15.9,No,No
2009-06-11,Wollongong,6.6,16.0,0.0,,,SW,37.0,W,SSW,15.0,22.0,42.0,37.0,1020.0,1018.0,,,10.6,15.5,No,No
2009-06-11,SalmonGums,11.9,18.6,1.2,,,NNW,30.0,NW,WSW,15.0,15.0,90.0,85.0,,,,,14.7,14.7,Yes,No
2009-06-11,Brisbane,7.6,16.5,0.0,5.0,10.0,W,35.0,WSW,WNW,17.0,13.0,49.0,30.0,1021.8,1018.9,0.0,0.0,10.7,16.2,No,No
2009-06-11,Bendigo,-2.7,9.4,0.0,0.6,,SW,28.0,,SW,0.0,11.0,83.0,65.0,1026.3,1024.1,1.0,7.0,3.7,8.6,No,No
2009-06-11,Darwin,17.2,28.3,0.0,8.2,9.2,ESE,43.0,SE,ESE,24.0,15.0,31.0,19.0,1016.3,1012.6,7.0,7.0,19.9,27.2,No,No
2009-06-11,Williamtown,4.7,13.9,0.0,5.8,9.6,W,48.0,WNW,WNW,33.0,28.0,62.0,36.0,1021.1,1018.2,1.0,,8.0,13.8,No,No
2009-06-11,Tuggeranong,-6.0,9.1,0.0,,,W,19.0,S,NW,4.0,6.0,87.0,48.0,1022.5,1020.4,,,-3.1,8.7,No,No
2009-06-11,Ballarat,-1.6,8.7,0.4,,,WSW,22.0,,W,0.0,11.0,99.0,72.0,1026.3,1023.7,7.0,8.0,4.0,7.2,No,No
2009-06-11,Portland,6.8,11.9,2.6,1.2,3.7,N,31.0,N,NNW,9.0,22.0,87.0,63.0,1024.9,1021.9,8.0,7.0,7.5,11.7,Yes,No
2009-06-11,CoffsHarbour,4.2,16.9,0.0,2.2,9.6,,,SW,ESE,20.0,9.0,39.0,43.0,1020.1,1017.2,5.0,0.0,12.5,16.0,No,No
2009-06-11,PerthAirport,12.2,16.8,20.2,4.8,0.5,WSW,37.0,WNW,S,4.0,22.0,97.0,87.0,1011.8,1010.2,7.0,7.0,13.4,13.5,Yes,Yes
2009-06-11,MountGambier,6.8,12.1,0.0,1.2,3.7,N,35.0,N,N,17.0,17.0,75.0,59.0,1025.4,1022.3,7.0,4.0,8.3,10.9,No,No
2009-06-11,Newcastle,3.7,14.3,0.0,,,,,,,0.0,,53.0,,,,0.0,,13.8,,No,No
2009-06-11,Albany,12.7,17.0,1.2,0.8,2.5,,,NW,WSW,7.0,24.0,89.0,60.0,1009.0,1008.2,8.0,6.0,13.1,15.0,Yes,Yes
2009-06-11,Dartmoor,5.2,12.3,0.8,1.2,3.7,N,33.0,NNW,NNW,9.0,24.0,85.0,65.0,1025.2,1022.4,,,7.9,11.1,No,No
2009-06-11,Mildura,-0.7,12.9,0.0,1.2,8.5,WNW,46.0,,NNW,0.0,9.0,95.0,45.0,1027.6,1024.9,1.0,5.0,4.0,12.5,No,No
2009-06-11,AliceSprings,1.6,19.5,0.0,3.2,10.1,ENE,28.0,,NE,0.0,15.0,69.0,23.0,1024.3,1018.6,0.0,0.0,8.5,19.1,No,No
2009-06-11,Canberra,-5.8,9.0,0.0,1.6,6.2,WNW,20.0,,N,0.0,7.0,86.0,52.0,1022.9,1020.9,5.0,1.0,-0.9,8.4,No,No
2009-06-11,Sale,3.9,12.2,0.0,2.2,4.2,W,46.0,W,W,26.0,30.0,85.0,69.0,1023.2,1021.8,1.0,7.0,7.6,11.0,No,No
2009-06-11,Watsonia,5.6,11.4,4.8,2.0,0.1,W,19.0,NW,S,4.0,7.0,88.0,68.0,1025.6,1023.1,7.0,7.0,6.8,11.2,Yes,No
2009-06-11,WaggaWagga,-2.0,8.9,0.0,1.4,4.0,WSW,31.0,W,SW,2.0,9.0,98.0,72.0,1024.6,1023.1,0.0,7.0,0.6,8.8,No,No
2009-06-11,SydneyAirport,5.3,16.1,0.0,4.0,9.8,W,48.0,W,WSW,30.0,26.0,47.0,29.0,1020.6,1018.0,1.0,1.0,8.4,15.2,No,No
2009-06-11,Witchcliffe,11.6,15.5,23.6,,,SSW,39.0,S,S,6.0,19.0,90.0,70.0,1010.6,1010.8,,,12.3,12.8,Yes,Yes
2009-06-11,Penrith,1.7,16.4,0.0,,,WSW,24.0,NW,SW,9.0,17.0,67.0,31.0,,,,,7.8,16.0,No,No
2009-06-11,Cairns,14.8,26.2,0.0,5.8,10.6,ESE,48.0,SSE,SE,15.0,31.0,53.0,44.0,1018.6,1015.1,2.0,1.0,21.4,24.7,No,No
2009-06-11,Nuriootpa,0.5,13.5,0.0,1.4,6.9,NW,28.0,NE,NNW,7.0,13.0,75.0,59.0,1026.0,1022.2,7.0,7.0,6.9,12.3,No,No
2009-06-11,MelbourneAirport,3.5,11.4,2.8,2.0,0.1,W,31.0,W,WSW,20.0,13.0,74.0,60.0,1025.6,1023.3,7.0,7.0,7.2,11.1,Yes,No
2009-06-11,Adelaide,3.5,15.6,0.0,1.2,8.4,NNW,30.0,NE,NNW,11.0,17.0,62.0,49.0,1025.4,1021.6,,,9.4,14.9,No,No
2009-06-11,NorahHead,,14.8,,,,WNW,28.0,,,,,,,,,,,,,,No
2009-06-11,Perth,12.2,17.0,22.2,4.8,0.5,SSW,39.0,WSW,SSE,6.0,13.0,93.0,86.0,1011.2,1010.0,7.0,7.0,13.8,13.3,Yes,Yes
2009-06-11,MountGinini,-8.5,0.6,1.0,,,S,31.0,WNW,SW,20.0,15.0,47.0,72.0,,,,,-0.9,-0.4,No,No
2009-06-11,BadgerysCreek,0.0,15.3,0.0,,,,,W,SW,11.0,19.0,53.0,35.0,1021.4,1018.6,,,8.2,14.9,No,
2009-06-11,Melbourne,6.0,12.4,6.6,2.0,0.1,W,31.0,W,WSW,20.0,13.0,74.0,55.0,1025.6,1023.0,7.0,7.0,8.4,12.2,Yes,No
2009-06-11,Richmond,-2.4,16.3,0.0,2.4,,S,24.0,,S,0.0,11.0,87.0,29.0,1021.8,1018.5,,,4.5,16.0,No,No
2009-06-11,NorfolkIsland,17.3,21.0,1.0,1.2,4.3,WNW,28.0,NW,W,7.0,13.0,80.0,73.0,1017.6,1015.2,7.0,6.0,19.3,19.5,No,No
2009-06-11,Townsville,10.1,25.5,0.0,5.8,10.5,ENE,35.0,W,ENE,9.0,20.0,54.0,28.0,1020.3,1016.9,0.0,0.0,19.6,24.2,No,No
2009-06-11,Albury,-2.0,9.6,0.0,,,SE,13.0,,ESE,0.0,6.0,84.0,72.0,1025.1,1023.0,,1.0,2.2,8.8,No,No
2009-06-12,NorahHead,7.6,17.3,0.0,,,WSW,26.0,W,WNW,15.0,9.0,60.0,46.0,1023.7,1020.2,,,11.0,16.1,No,No
2009-06-12,Dartmoor,2.9,11.7,0.0,1.6,2.4,NNE,50.0,NNE,N,15.0,17.0,82.0,72.0,1018.6,1014.4,,,6.2,11.4,No,Yes
2009-06-12,Newcastle,4.2,16.3,0.0,,,,,NE,NW,6.0,4.0,65.0,45.0,,,0.0,1.0,8.6,14.8,No,No
2009-06-12,Mildura,1.0,11.6,0.0,1.2,2.0,N,39.0,NNE,NNE,15.0,24.0,79.0,49.0,1023.0,1018.8,8.0,8.0,5.0,10.9,No,No
2009-06-12,Cobar,1.9,12.8,0.0,1.2,6.8,NE,26.0,E,NNW,11.0,7.0,73.0,50.0,1025.4,1021.3,3.0,7.0,6.9,12.1,No,No
2009-06-12,WaggaWagga,-0.9,7.5,0.2,0.8,0.8,E,22.0,,E,0.0,7.0,99.0,79.0,1026.0,1022.8,8.0,6.0,3.1,7.0,No,No
2009-06-12,Witchcliffe,6.6,15.2,3.2,,,SSE,39.0,S,S,13.0,13.0,69.0,63.0,1018.4,1018.8,,,12.1,14.7,Yes,Yes
2009-06-12,Darwin,16.0,30.1,0.0,7.4,10.3,ESE,37.0,SE,NNE,17.0,11.0,41.0,25.0,1016.2,1012.2,2.0,0.0,20.1,29.3,No,No
2009-06-12,Tuggeranong,-3.1,2.6,0.2,,,N,15.0,SW,NW,6.0,7.0,99.0,90.0,1024.8,1022.1,,,0.2,2.3,No,No
2009-06-12,NorfolkIsland,15.3,19.9,0.2,1.4,7.9,W,63.0,W,WNW,20.0,30.0,68.0,60.0,1015.5,1012.6,3.0,3.0,18.1,18.6,No,No
2009-06-12,Cairns,17.2,25.9,0.0,7.8,10.7,SE,52.0,SSE,ESE,19.0,33.0,54.0,47.0,1018.7,1015.9,7.0,1.0,21.9,24.6,No,No
2009-06-12,Melbourne,5.3,10.8,0.0,0.4,4.7,N,61.0,N,NNE,31.0,30.0,71.0,57.0,1022.6,1019.2,4.0,7.0,6.9,10.1,No,No
2009-06-12,Sydney,6.2,17.1,0.0,3.0,9.4,,,W,W,22.0,4.0,67.0,41.0,1024.3,1020.2,1.0,7.0,8.2,17.1,No,No
2009-06-12,PearceRAAF,4.4,16.4,7.8,,5.8,SW,19.0,N,SSW,4.0,11.0,83.0,66.0,,1018.2,3.0,8.0,9.1,14.5,Yes,No
2009-06-12,Adelaide,9.1,13.8,0.0,1.6,,NE,43.0,NNE,N,13.0,13.0,56.0,50.0,1017.9,1012.3,,,10.6,13.6,No,Yes
2009-06-12,Bendigo,-2.8,9.8,0.2,0.6,,N,35.0,,N,0.0,19.0,,59.0,1023.8,1020.2,1.0,7.0,1.8,9.5,No,No
2009-06-12,GoldCoast,6.4,20.1,0.0,,,SSE,30.0,WSW,SSE,7.0,11.0,54.0,43.0,1023.3,1020.1,,,14.3,19.0,No,No
2009-06-12,Canberra,-2.2,4.1,0.2,1.8,0.0,WNW,17.0,E,W,6.0,11.0,96.0,84.0,1025.3,1022.4,8.0,8.0,0.7,3.7,No,No
2009-06-12,BadgerysCreek,,16.9,,,,SW,22.0,,N,0.0,7.0,72.0,46.0,1024.4,1020.3,,,8.3,15.0,,No
2009-06-12,MountGambier,5.2,11.3,0.0,1.6,2.4,NNE,52.0,NNE,NNE,19.0,26.0,73.0,65.0,1018.2,1013.4,7.0,8.0,7.2,10.8,No,Yes
2009-06-12,Wollongong,7.4,15.9,0.0,,,SW,35.0,W,NE,4.0,7.0,51.0,51.0,1023.7,1019.9,,,12.9,15.3,No,No
2009-06-12,Woomera,7.8,16.5,0.0,6.0,3.3,NNE,56.0,NNE,NNE,26.0,37.0,43.0,32.0,1018.9,1012.6,7.0,7.0,9.6,16.0,No,No
2009-06-12,MountGinini,-4.0,3.2,0.0,,,SW,35.0,SW,WSW,24.0,17.0,45.0,50.0,,,,,0.0,2.4,No,No
2009-06-12,Walpole,8.8,14.3,3.0,,,SSW,39.0,WSW,SW,11.0,11.0,83.0,67.0,1016.6,1017.5,,,10.9,13.0,Yes,Yes
2009-06-12,Watsonia,1.9,10.8,0.0,0.4,4.7,NNE,46.0,N,NNW,13.0,22.0,78.0,66.0,1022.7,1019.5,6.0,7.0,6.8,9.4,No,No
2009-06-12,Nuriootpa,4.1,11.6,0.0,1.0,1.1,NE,37.0,NE,ENE,11.0,13.0,78.0,63.0,1018.8,1013.9,8.0,8.0,6.6,10.1,No,Yes
2009-06-12,Brisbane,5.5,19.9,0.0,2.4,9.9,SW,20.0,SW,SSE,7.0,6.0,56.0,42.0,1024.1,1020.4,0.0,1.0,10.7,19.2,No,No
2009-06-12,PerthAirport,4.2,16.6,7.2,2.2,5.8,SW,22.0,NE,SSW,9.0,9.0,89.0,58.0,1018.4,1018.3,2.0,6.0,8.8,15.2,Yes,No
2009-06-12,AliceSprings,6.1,23.2,0.0,4.4,10.1,NW,41.0,N,NNW,17.0,19.0,42.0,14.0,1020.2,1015.0,1.0,0.0,14.2,22.5,No,No
2009-06-12,Williamtown,5.2,16.1,0.0,5.4,9.6,WNW,37.0,WNW,W,26.0,20.0,60.0,40.0,1024.3,1020.4,1.0,2.0,8.8,15.7,No,No
2009-06-12,Ballarat,0.2,8.1,0.2,,,N,59.0,NNE,N,31.0,37.0,89.0,76.0,1021.7,1018.2,3.0,,3.2,6.5,No,No
2009-06-12,Hobart,4.2,11.8,0.8,0.4,3.2,WNW,48.0,NW,NNE,15.0,17.0,81.0,66.0,1017.1,1013.1,7.0,7.0,6.9,11.4,No,No
2009-06-12,SalmonGums,6.0,14.7,1.0,,,SSW,46.0,W,WSW,24.0,26.0,81.0,61.0,,,,,9.6,14.0,No,No
2009-06-12,CoffsHarbour,3.4,18.1,0.0,1.8,9.5,,,SW,SE,17.0,13.0,55.0,49.0,1023.2,1020.2,1.0,1.0,13.1,17.6,No,No
2009-06-12,Albury,-1.3,8.2,0.0,,,ESE,15.0,E,SSE,6.0,6.0,99.0,72.0,1025.7,1022.2,8.0,7.0,1.9,7.9,No,No
2009-06-12,Sale,1.0,12.3,0.0,1.2,4.7,NNW,26.0,NW,S,9.0,9.0,88.0,61.0,1022.1,1018.0,7.0,7.0,3.9,11.2,No,No
2009-06-12,Moree,-2.3,17.3,0.0,6.4,8.3,SW,19.0,E,NW,9.0,7.0,67.0,23.0,1025.1,1020.9,0.0,3.0,5.5,16.9,No,No
2009-06-12,Launceston,1.4,11.3,0.2,0.8,,NW,20.0,,NNW,0.0,11.0,99.0,84.0,1019.3,1015.7,,,3.2,11.1,No,No
2009-06-12,Portland,4.0,11.3,0.0,1.6,2.4,N,44.0,N,N,15.0,13.0,80.0,69.0,1018.1,1014.4,7.0,7.0,5.4,10.4,No,Yes
2009-06-12,Perth,5.2,15.4,8.6,2.2,5.8,SW,17.0,ENE,SW,7.0,4.0,95.0,62.0,1018.1,1018.1,2.0,6.0,9.5,15.0,Yes,No
2009-06-12,MelbourneAirport,1.4,10.3,0.0,0.4,4.7,N,61.0,N,NNE,31.0,30.0,75.0,68.0,1022.3,1019.1,6.0,7.0,5.9,9.0,No,No
